author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Самолет Плюс Казань Центральный;real_estate_agent;https://kazan.cian.ru/sale/flat/291679743/;Казань;sale;flat;4;5;2;43.0;5400000;Авиастроительный; Айдарова;8А;Авиастроительная;
Суварстроит;developer;https://kazan.cian.ru/sale/flat/298326578/;Казань;sale;flat;1;5;1;54.74;8852000;Приволжский; Генерала Ерина;5Д;Дубравная;Времена года
Альтера;real_estate_agent;https://kazan.cian.ru/sale/flat/301833024/;Казань;sale;flat;6;9;1;34.9;5350000;Приволжский; Комиссара Габишева;17;Дубравная;
ID 75313127;developer;https://kazan.cian.ru/sale/flat/302301653/;Казань;sale;flat;2;13;1;37.03;7410000;Советский;;;Суконная слобода;Статный
Тимур Павленков;realtor;https://kazan.cian.ru/sale/flat/304474890/;Казань;sale;flat;3;5;2;50.3;19990000;Вахитовский; Островского;88;Площадь Тукая;
ID 75313127;developer;https://kazan.cian.ru/sale/flat/296265812/;Казань;sale;flat;11;19;1;39.32;8370000;Советский;;5;Аметьево;Мечта ЖК
Айгуль Серазетдинова;realtor;https://kazan.cian.ru/sale/flat/304351998/;Казань;sale;flat;4;16;1;38.0;6500000;Советский;проспект Победы;100;Горки;
Аркада;developer;https://kazan.cian.ru/sale/flat/302551255/;Казань;sale;flat;15;25;2;57.2;15158057;Ново-Савиновский; Четаева;43А;Козья слобода;SREDA OF LIFE
Самолет Плюс;real_estate_agent;https://kazan.cian.ru/sale/flat/297207725/;Казань;sale;flat;5;5;2;42.4;5500000;Кировский;Шоссейная ;21а;Козья слобода;
Суварстроит;developer;https://kazan.cian.ru/sale/flat/301483226/;Казань;sale;flat;2;19;1;34.41;7844000;Приволжский; Рауиса Гареева;;Дубравная;Батталовский
ЭТАЖИ КАЗАНЬ;real_estate_agent;https://kazan.cian.ru/sale/flat/280079094/;Казань;sale;flat;18;20;1;39.1;5999000;Приволжский; Ярышлар;2А;Проспект Победы;Станция Спортивная
ID 75313127;developer;https://kazan.cian.ru/sale/flat/300720291/;Казань;sale;flat;2;23;1;40.13;8970000;Советский;;2;Горки;Притяжение ЖК
Самолет Плюс Казань Центральный;real_estate_agent;https://kazan.cian.ru/sale/flat/302335993/;Казань;sale;flat;9;9;1;45.1;7800000;Советский; Дружбы;14;Суконная слобода;
ID 75313127;developer;https://kazan.cian.ru/sale/flat/296266219/;Казань;sale;flat;11;19;2;60.42;11620000;Советский; Мансура Хасанова;19;Аметьево;Мечта
Жильё- Групп;real_estate_agent;https://kazan.cian.ru/sale/flat/298521678/;Казань;sale;flat;8;9;2;41.6;4700000;Ново-Савиновский; Маршала Чуйкова;55;Козья слобода;
ID 75313127;developer;https://kazan.cian.ru/sale/flat/296265342/;Казань;sale;flat;8;19;2;59.35;11110000;Советский;;5;Аметьево;Мечта ЖК
